startDate,tournament,homeTeam,awayTeam,score,scoreNote,totalGoals,goalDiff
2026-07-21 02:30,保加利亚甲组联赛,保迪夫,索菲亚火车头,1:1,完场,2.0,0.0
2026-07-21 16:00,中国足协杯,大连可为,北京国安,1:2,完场,3.0,-1.0
2026-07-21 17:30,澳洲国家联赛,坎培拉祖云达斯,坎培拉克罗地亚,2:5,完场,7.0,-3.0
2026-07-21 17:30,澳洲杯,昆士兰狮队,珀斯光辉,0:0,完场,0.0,0.0
2026-07-21 17:30,澳洲杯,普雷斯顿雄狮,纽卡素喷射机,3:2,完场,5.0,1.0
2026-07-21 18:00,澳洲杯,坎伯兰联,海德堡联,0:3,完场,3.0,-3.0
2026-07-21 18:30,南韩职业联赛,全北汽车,大田市民,0:0,完场,0.0,0.0
2026-07-21 18:30,澳洲杯,比斯活特城,悉尼FC,1:5,完场,6.0,-4.0
2026-07-21 18:30,南韩职业联赛,蔚山HD,仁川联,1:2,完场,3.0,-1.0
2026-07-21 18:30,南韩职业联赛,济州SK,FC江原,1:1,完场,2.0,0.0
2026-07-21 19:00,中国足协杯,上海海港,深圳新鹏城,1:1,完场,2.0,0.0
2026-07-21 19:35,中国足协杯,重庆铜梁龙,青岛西海岸,2:0,完场,2.0,2.0
2026-07-21 19:35,中国足协杯,上海申花,青岛海牛,4:1,完场,5.0,3.0
2026-07-21 19:35,中国足协杯,武汉三镇,山东泰山,1:1,完场,2.0,0.0
2026-07-21 20:00,中国足协杯,云南玉昆,成都蓉城,3:3,完场,6.0,0.0
2026-07-21 20:00,中国足协杯,河南队,大连英博,1:1,完场,2.0,0.0
2026-07-21 23:59,欧洲冠军联赛,米赞比,林肯红魔鬼,3:0,完场,3.0,3.0
2026-07-21 23:59,芬兰甲组联赛,卡帕,赫尔辛基零四,0:2,完场,2.0,-2.0
2026-07-21 23:59,欧洲冠军联赛,伊比利亚1999,巴迪斯拉华,0:2,完场,2.0,-2.0
2026-07-21 23:59,欧洲冠军联赛,艾拉华特阿美尼亚,沙姆洛克流浪,2:0,完场,2.0,2.0
2026-07-21 23:59,欧洲冠军联赛,沙巴FC,古比斯,1:0,完场,1.0,1.0
2026-07-22 01:00,瑞典甲组联赛,科根堡,希尔星堡,2:3,完场,5.0,-1.0
2026-07-22 01:00,欧洲冠军联赛,阿晓斯,列治普斯纳,1:4,完场,5.0,-3.0
2026-07-22 01:00,欧洲协会联赛,哥登堡,塔林利华戴亚,1:2,完场,3.0,-1.0
2026-07-22 01:30,欧洲协会联赛,科利安拿,达他,1:1,完场,2.0,0.0
2026-07-22 02:00,欧洲冠军联赛,杜安,萨格勒布戴拿模,1:1,完场,2.0,0.0
2026-07-22 02:00,欧洲冠军联赛,费伦巴治,扎布热矿工,1:0,完场,1.0,1.0
2026-07-22 02:15,欧洲协会联赛,阿特比森,吉奥利,2:6,完场,8.0,-4.0
2026-07-22 02:30,欧洲冠军联赛,格拉茨,赫斯,4:0,完场,4.0,4.0
2026-07-22 02:45,苏格兰联赛杯,巴特里,史丹侯斯姆,2:2,完场,4.0,0.0
2026-07-22 02:45,苏格兰联赛杯,利云斯顿,福弗尔,8:0,完场,8.0,8.0
2026-07-22 02:45,苏格兰联赛杯,罗斯郡,登地,1:1,完场,2.0,0.0
2026-07-22 02:45,苏格兰联赛杯,邓弗姆林,哥维流浪,5:0,完场,5.0,5.0
2026-07-22 02:45,苏格兰联赛杯,圣美伦,东基尔布莱德,4:3,完场,7.0,1.0
2026-07-22 02:45,苏格兰联赛杯,拉夫流浪,彼德赫德,1:0,完场,1.0,1.0
2026-07-22 02:45,苏格兰联赛杯,恩华利斯,圣庄士东,1:0,完场,1.0,1.0
2026-07-22 02:45,苏格兰联赛杯,阿洛厄,福克尔克,1:1,完场,2.0,0.0
2026-07-22 02:45,苏格兰联赛杯,登地联,斯巴达人,4:0,完场,4.0,4.0
2026-07-22 02:45,欧洲冠军联赛,基卡拉斯域卡,考诺,0:0,完场,0.0,0.0
2026-07-22 02:45,苏格兰联赛杯,基尔马诺克,咸美顿,1:0,完场,1.0,1.0
2026-07-22 02:45,苏格兰联赛杯,艾布亚夫,蒙杜斯,0:2,完场,2.0,-2.0
2026-07-22 03:00,欧洲冠军联赛,维京古,比亚斯华夏普尔,2:1,完场,3.0,1.0
2026-07-22 03:00,欧洲冠军联赛,拉恩,贝尔格莱德红星,0:4,完场,4.0,-4.0
2026-07-22 05:30,厄瓜多尔甲组联赛,洛查利伯泰迪,SC迪尔芬,1:0,完场,1.0,1.0
2026-07-22 06:00,南美球會杯,蒙特维多国民队,堤格雷,0:3,完场,3.0,-3.0
2026-07-22 06:30,巴西乙组联赛,路禾利桑天奴,基斯奥马,0:1,当前,1.0,-1.0
2026-07-22 06:30,巴西乙组联赛,艾华尔,阿美利加明尼路,0:1,当前,1.0,-1.0
2026-07-22 06:30,巴西甲组联赛,明尼路,巴希亚,1:1,当前,2.0,0.0
2026-07-22 08:00,厄瓜多尔甲组联赛,基多天主教大学,SC巴塞隆拿,,当前,,
2026-07-22 08:30,南美球會杯,委内瑞拉中央大学,山度士,,当前,,
2026-07-22 08:35,巴西乙组联赛,维拉诺瓦,科泰尼沙,,当前,,
2026-07-22 09:00,墨西哥超级联赛,蓝十字,普埃布拉,,当前,,
2026-07-22 11:00,墨西哥超级联赛,托卢卡,普马斯,,当前,,
2026-07-22 15:30,纽西兰国家联赛,东海岸湾,奥克兰城,,当前,,
2026-07-22 16:00,女子欧洲冠军联赛,尼菲治女足,布度洛斯女足,,当前,,
