id,gt,league,home,away,hc,folder,score,totalGoals,size,predict,correct,lamTotal,lam
508439,20260716 23:00,欧洲协会联赛,艾利美,艾拉斯克特,2.25,20260717_230032,-,-,,小,,2.393,2.408
508437,20260716 23:00,欧洲协会联赛,艾斯坦拿,戴拿模城,2.50,20260717_230032,-,-,,大,,2.857,2.846
508438,20260716 23:00,欧洲协会联赛,英特杜古,萨拉热窝,2.50,20260717_230032,-,-,,大,,2.744,2.753
508441,20260716 23:59,欧洲协会联赛,派德,赫格曼,2.50,20260715_010040,-,-,,大,,2.798,2.730
508440,20260716 23:59,欧洲协会联赛,伊斯韦斯,迪费丹治,2.75,20260715_010040,-,-,,大,,2.961,2.919
508443,20260716 23:59,欧洲协会联赛,圣若瑟FC,波希米亚人,3.00,20260715_010040,-,-,,大,,3.159,3.150
508444,20260716 23:59,欧洲协会联赛,古泰斯鱼雷,施拉,2.25,20260715_010040,-,-,,大,,2.500,2.536
508442,20260716 23:59,欧洲协会联赛,佩历克,马沙斯洛克,2.75,20260715_010040,-,-,,小,,2.733,2.876
508445,20260717 00:30,欧洲协会联赛,塔林利华戴亚,卡纳芬,3.25,20260715_010040,-,-,,小,,3.287,3.302
508446,20260717 00:30,欧洲协会联赛,列加斯,格兰杜兰,2.75,20260715_010040,-,-,,大,,2.989,2.951
508274,20260717 01:00,挪威超级联赛,华拿伦加,阿利辛特,3.25,20260715_020042,-,-,,小,,3.324,3.350
508449,20260717 01:00,欧洲协会联赛,第比利斯戴拿模,蒙多夫莱班,3.00,20260715_020042,-,-,,小,,3.116,3.101
508450,20260717 01:00,欧洲协会联赛,FC圣达哥林玛,宾尼邦特,2.25,20260715_020042,-,-,,大,,2.427,2.456
508448,20260717 01:00,欧洲协会联赛,巴迪,艾巴辛尼,2.25,20260715_020042,-,-,,大,,2.446,2.466
508452,20260717 01:00,欧洲协会联赛,萨基列斯,帕度华,2.75,20260715_020042,-,-,,大,,2.979,2.940
508447,20260717 01:00,欧洲协会联赛,维京加高泰,史达兰,3.00,20260715_020042,-,-,,小,,3.073,3.229
508451,20260717 01:00,欧洲协会联赛,米尔沙米,韦利斯莫斯达,2.00,20260715_020042,-,-,,大,,2.253,2.235
508453,20260717 01:30,欧洲协会联赛,咸伦斯巴达,NSI鲁纳维克,2.50,20260715_020042,-,-,,小,,2.622,2.618
508403,20260717 01:30,欧洲联赛,克鲁日大学,基辅戴拿模,2.50,20260715_020042,-,-,,小,,2.575,2.564
508402,20260717 01:30,欧洲联赛,德利城,索菲亚中央陆军,2.50,20260715_020042,-,-,,大,,2.749,2.753
508404,20260717 02:00,欧洲联赛,亚鲁米尼,舒列夫,2.25,20260715_030040,-,-,,小,,2.386,2.418
508454,20260717 02:00,欧洲协会联赛,巴尔干尼,康纳斯码头,3.00,20260715_030040,-,-,,大,,3.161,3.150
508456,20260717 02:00,欧洲协会联赛,施历斯,明斯克戴拿模,2.25,20260715_030040,-,-,,小,,2.291,2.323
508455,20260717 02:00,欧洲协会联赛,舒肯迪亚,乌路柏,3.00,20260715_030040,-,-,,大,,3.220,3.209
508405,20260717 02:15,欧洲联赛,费伦斯华路士,禾获甸拿,3.25,20260715_030040,-,-,,小,,3.122,3.500
508406,20260717 02:30,欧洲联赛,斯利纳,夏积杜克,2.50,20260715_030040,-,-,,大,,2.727,2.719
508457,20260717 02:45,欧洲协会联赛,莫尔纳,艾斯卡迪斯体育会,2.25,20260715_030040,-,-,,大,,2.426,2.476
508458,20260717 02:45,欧洲协会联赛,连菲特,卡里鲁,2.00,20260715_030040,-,-,,大,,2.296,2.179
508459,20260717 03:00,欧洲协会联赛,维图斯,迪拿哥里,2.75,20260715_040040,-,-,,大,,3.056,3.017
508407,20260717 04:00,欧洲联赛,韦斯迪利,卡拉巴克,3.25,20260715_050038,-,-,,小,,3.394,3.348
506217,20260717 05:45,阿根廷杯,竞赛会,防卫者,2.25,20260715_070040,-,-,,小,,2.370,2.403
508282,20260717 06:30,巴西甲组联赛,保地花高,山度士,2.50,20260715_070040,-,-,,大,,2.739,2.718
508283,20260717 06:30,巴西甲组联赛,维多利亚,华斯高,2.25,20260715_070040,-,-,,大,,2.502,2.532
508292,20260717 07:00,巴西乙组联赛,CRB,纽迪高,2.50,20260715_080038,-,-,,大,,2.710,2.730
508356,20260717 07:30,美国职业大联盟联赛,CF蒙特利尔,多伦多FC,3.00,20260715_080038,-,-,,小,,3.087,3.083
508358,20260717 08:30,美国职业大联盟联赛,圣路易斯城SC,肯萨斯体育会,3.50,20260715_090038,-,-,,小,,3.548,3.545
508357,20260717 08:30,美国职业大联盟联赛,芝加哥火焰,温哥华白帽,3.00,20260715_090038,0:0,0,小,大,错,3.262,3.257
508853,20260717 08:45,阿根廷杯,沙米恩图,小保加,2.00,20260715_090038,-,-,,大,,2.179,2.172
508484,20260717 09:00,墨西哥超级联赛,尼卡沙,阿兰特,2.75,20260715_090038,-,-,,小,,2.896,2.898
