场次ID,联赛,主队,客队,开赛时间,最优玩法,盘口,EV,Kelly,实际赛果
509233,美国国家女子联赛,肯萨斯城流动女足,圣地牙哥海浪女足,20260718 08:00,让球-客,-0.25球,2.64%,15.18%,未完场
508360,美国职业大联盟联赛,纳舒维尔SC,阿特兰大联,20260718 08:10,让球-主,-1球,4.23%,6.06%,未完场
508153,中国超级联赛,大连英博,山东泰山,20260718 19:35,大小球-小,3.75球,18.74%,0.00%,未完场
510233,球会友谊赛,琉森,圣图尔登,20260718 20:30,大小球-小,3球,1.56%,0.00%,未完场
509329,乌拉圭甲组联赛,普格素,马尔多纳多,20260718 23:25,让球-客,+0.25球,5.22%,7.87%,未完场
508280,挪威超级联赛,莫迪,白兰恩,20260718 23:59,让球-主,-0.25球,1.44%,0.00%,未完场
509205,美国冠军联赛,匹兹堡猎犬,路易斯维尔城,20260718 23:59,让球-主,+0.25球,1.71%,2.05%,未完场
510250,球会友谊赛,维也纳迅速,汉堡,20260719 01:00,大小球-小,3球,4.73%,0.00%,未完场
508489,墨西哥超级联赛,普马斯,帕丘卡,20260719 07:00,让球-主,0球,2.25%,3.50%,未完场
509208,美国冠军联赛,杰克逊维尔体育会,FC布鲁克林,20260719 07:00,让球-客,0球,0.81%,1.27%,未完场
508062,南韩职业联赛,FC富川,FC首尔,20260719 18:30,让球-主,+0.75球,2.70%,3.04%,未完场
508172,南韩乙组联赛,庆南FC,安山绿人,20260719 18:30,让球-客,-1球,0.90%,1.81%,未完场
508173,南韩乙组联赛,水原蓝翼,坡州前线,20260719 18:30,让球-客,-1.25球,3.54%,15.82%,未完场
509725,球会友谊赛,克拉科维亚,西维尔,20260719 22:00,让球-客,+0.5球,16.57%,15.34%,未完场
508243,瑞典超级联赛,哈马比,迪加科斯,20260719 22:30,让球-客,-1.75球,11.07%,0.18%,未完场
508261,芬兰超级联赛,马利汉姆,拉迪,20260720 23:59,胜平负-主胜,胜平负,2.86%,0.62%,未完场
508247,瑞典超级联赛,奥基迪,佐加顿斯,20260721 01:00,大小球-小,3.5球,6.99%,0.00%,未完场
510198,澳洲杯,普雷斯顿雄狮,纽卡素喷射机,20260721 17:30,让球-客,+0.5球,21.46%,19.51%,3:2
510199,澳洲杯,昆士兰狮队,珀斯光辉,20260721 17:30,让球-客,+0.5球,15.12%,14.27%,0:0
508063,南韩职业联赛,全北汽车,大田市民,20260721 18:30,让球-主,-0.5球,6.41%,6.16%,0:0
508964,南韩职业联赛,济州SK,FC江原,20260721 18:30,让球-主,+0.5球,5.03%,5.85%,1:1
510201,澳洲杯,比斯活特城,悉尼FC,20260721 18:30,让球-客,+2球,22.09%,25.00%,1:5
510150,欧洲冠军联赛,艾拉华特阿美尼亚,沙姆洛克流浪,20260721 23:59,大小球-大,2.25球,12.91%,25.00%,2:0
510152,欧洲冠军联赛,米赞比,林肯红魔鬼,20260721 23:59,大小球-小,3.25球,7.41%,0.00%,3:0
510153,欧洲冠军联赛,沙巴FC,古比斯,20260721 23:59,胜平负-客胜,胜平负,14.78%,0.00%,1:0
510154,欧洲冠军联赛,阿晓斯,列治普斯纳,20260722 01:00,让球-主,0球,12.06%,19.21%,1:4
510308,欧洲协会联赛,哥登堡,塔林利华戴亚,20260722 01:00,大小球-小,3球,1.18%,0.00%,1:2
510155,欧洲冠军联赛,费伦巴治,扎布热矿工,20260722 02:00,让球-客,-2球,3.82%,5.70%,1:0
510157,欧洲冠军联赛,格拉茨,赫斯,20260722 02:30,让球-客,-0.5球,1.00%,0.96%,4:0
510158,欧洲冠军联赛,基卡拉斯域卡,考诺,20260722 02:45,让球-主,0球,5.08%,8.34%,0:0
510140,苏格兰联赛杯,阿洛厄,福克尔克,20260722 02:45,让球-主,+2球,2.22%,3.56%,1:1
510144,苏格兰联赛杯,邓弗姆林,哥维流浪,20260722 02:45,大小球-大,2.75球,2.97%,0.00%,5:0
510172,苏格兰联赛杯,罗斯郡,登地,20260722 02:45,大小球-大,2.5球,5.35%,6.86%,1:1
510159,欧洲冠军联赛,拉恩,贝尔格莱德红星,20260722 03:00,让球-客,+2球,1.78%,2.73%,0:4
510160,欧洲冠军联赛,维京古,比亚斯华夏普尔,20260722 03:00,大小球-小,2.75球,0.06%,0.00%,2:1
510092,南美球会杯,蒙特维多国民队,堤格雷,20260722 06:00,大小球-大,1.75球,6.61%,0.00%,0:3
508286,巴西甲组联赛,明尼路,巴希亚,20260722 06:30,让球-客,-0.5球,4.52%,5.13%,未完场
509260,巴西乙组联赛,艾华尔,阿美利加明尼路,20260722 06:30,大小球-大,2球,0.81%,1.34%,未完场
496642,挪威超级联赛,波杜基林特,咸卡姆,20260723 01:00,让球-客,-2.5球,1.80%,1.88%,未完场
510313,欧洲协会联赛,巴沙克舒希,英特杜古,20260723 01:45,让球-客,-1.75球,0.84%,0.00%,未完场
